type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status
single_family,2020,4,3,2,1,2,5227,3120,3,10-19-20,495000,for_sale
single_family,1958,3,1,1,1,2,8276,1054,1,09-02-16,345000,for_sale
single_family,2003,3,2,2,1,2,13939,1609,2,05-31-18,407800,for_sale
single_family,2020,4,3,2,1,2,11761,4069,3,05-31-18,839900,for_sale
single_family,2005,5,4,2,1,2,87120,2975,3,05-31-18,1315000,for_sale
single_family,1909,3,2,1,1,2,2614,1604,2,09-09-19,549900,for_sale
single_family,2007,5,4,4,1,2,87120,2975,2,05-15-18,1315000,for_sale
single_family,2005,5,3,3,1,2,8712,3020,2,07-28-05,639900,for_sale
single_family,1960,4,3,3,1,2,8712,1620,3,06-05-20,484900,for_sale
single_family,1974,4,2,2,1,2,65340,1250,1,05-31-18,184900,for_sale
single_family,1977,4,2,1,1,1,6534,1900,2,05-31-18,440000,for_sale
single_family,1909,2,1,1,1,2,21780,900,1,05-31-18,299000,for_sale
single_family,2021,3,3,2,1,2,3049,1495,2,05-31-18,390000,for_sale
single_family,1992,5,3,3,1,2,9583,2544,4,06-20-13,569900,for_sale
single_family,1954,4,2,1,1,1,7405,1200,1,11-24-09,449999,for_sale
single_family,1996,3,2,2,1,2,54450,1476,1,03-26-21,535000,for_sale
single_family,1926,3,1,1,1,2,16988,1060,2,01-19-11,389000,for_sale
condos,2003,3,3,2,1,2,13939,1606,2,05-31-18,389990,for_sale
single_family,1994,6,2,1,1,2,11761,2197,2,05-31-18,519500,for_sale
townhomes,2009,2,3,2,1,2,3920,1240,2,07-17-09,395000,for_sale
single_family,1919,5,2,1,1,1,7841,2816,2,09-29-09,599000,for_sale
single_family,1910,2,1,1,1,1,6534,1456,2,11-21-17,315000,for_sale
single_family,2005,3,2,2,1,2,4356,1392,1,06-27-19,447000,for_sale
single_family,2013,4,3,2,1,2,10890,2598,2,11-01-19,575000,for_sale
single_family,2002,1,1,1,1,2,20473,676,1,05-31-18,289000,for_sale
single_family,2021,3,3,3,1,2,3049,1495,2,05-31-18,390000,for_sale
single_family,1964,3,2,1,1,1,8712,1720,3,05-31-18,634000,for_sale
condo_townhome_rowhome_coop,2004,3,3,2,1,1,871,1382,2,07-16-21,399000,for_sale
single_family,1997,4,3,3,1,2,40946,2944,2,03-15-19,1099000,for_sale
condos,1984,1,1,1,1,1,13939,1087,1,05-31-18,315000,for_sale
condos,1914,2,1,2,1,1,4356,769,1,08-25-22,495000,for_sale
single_family,1998,4,5,5,1,3,30492,3797,1,01-31-19,2150000,for_sale
single_family,1912,1,1,1,1,2,5663,1388,2,01-10-20,249000,for_sale
single_family,2014,3,2,2,1,2,7841,1329,1,05-31-18,473935,for_sale
townhomes,2022,4,4,3,1,2,1307,2237,3,03-30-22,530000,for_sale
townhomes,2016,4,3,3,1,2,2178,3049,3,01-30-17,1250000,for_sale
townhomes,1999,3,3,2,1,2,2614,1668,3,08-29-16,379999,for_sale
townhomes,1997,4,2,1,1,2,1742,1720,3,11-09-12,369000,for_sale
single_family,2023,4,5,5,1,3,8276,2644,1,05-31-18,899995,for_sale
single_family,1980,5,2,2,1,2,130680,1882,1,05-31-18,400000,for_sale
townhomes,1999,2,2,1,1,2,2178,1216,2,06-06-16,299000,for_sale
townhomes,2014,3,2,1,1,2,436,1366,2,03-03-21,280000,for_sale
single_family,1968,2,1,1,1,2,3485,672,1,05-31-18,185000,for_sale
condos,2019,3,2,2,1,1,436,1272,1,05-15-23,350000,for_sale
condos,1978,1,1,1,1,2,436,680,1,10-12-18,250000,for_sale
condos,1984,2,1,1,1,2,436,930,1,07-03-14,309000,for_sale
townhomes,2015,2,3,1,1,1,871,1299,3,07-09-20,1100000,for_sale
townhomes,2009,3,3,2,1,1,871,1292,2,11-20-09,330000,for_sale
condos,1983,2,3,3,1,2,13939,1276,2,05-31-18,272500,for_sale
townhomes,2022,4,3,3,1,2,1742,1953,3,05-31-18,503000,for_sale
townhomes,2019,3,3,2,1,2,871,1799,3,05-31-18,479000,for_sale
single_family,2008,2,1,2,1,2,263538,864,2,05-31-18,89900,for_sale
single_family,1998,3,3,3,1,2,23087,1728,3,03-30-21,375000,for_sale
condos,2020,3,2,2,1,1,1307,1272,1,09-29-20,329900,for_sale
townhomes,2020,3,3,2,1,2,1307,1752,2,04-29-20,424900,for_sale
townhomes,2012,3,3,2,1,2,1307,2242,3,08-15-23,515000,for_sale
condos,2000,2,3,3,1,1,1369,1369,1,05-31-18,1525000,for_sale
single_family,2003,3,3,2,1,2,13939,0,2,05-31-18,519990,for_sale
single_family,2022,6,3,3,1,2,20909,3450,2,05-31-18,685000,for_sale
townhomes,2007,4,4,2,1,2,871,2194,3,10-26-18,475000,for_sale
single_family,2024,5,5,3,1,3,10019,5128,2,05-31-18,1325000,for_sale
condos,1998,3,2,1,1,2,2178,1454,1,09-12-16,395000,for_sale
townhomes,1973,3,4,2,1,2,1742,2280,3,03-01-23,374900,for_sale
single_family,2003,3,3,2,1,2,13939,2463,2,05-31-18,587990,for_sale
single_family,2001,5,3,3,1,2,14810,2836,2,05-31-18,475000,for_sale
single_family,2024,3,3,2,1,3,11326,4067,2,05-31-18,589990,for_sale
single_family,2024,6,4,4,1,4,18731,3798,2,05-31-18,862146,for_sale
townhomes,2020,5,4,3,1,2,871,2372,3,11-20-20,530000,for_sale
single_family,2024,3,2,2,1,2,7405,1519,1,05-31-18,488832,for_sale
single_family,2024,4,3,2,1,3,10454,3742,3,05-31-18,624990,for_sale
single_family,2007,3,2,1,1,2,23958,1976,2,05-31-18,329000,for_sale
single_family,2024,5,5,4,1,3,10019,3484,3,05-31-18,889999,for_sale
single_family,2003,7,5,4,1,3,10019,3766,2,10-08-19,750000,for_sale
condo_townhome_rowhome_coop,2005,3,2,2,1,2,13939,1111,2,05-31-18,275000,for_sale
single_family,2024,3,3,2,1,2,7405,3510,3,05-31-18,539990,for_sale
single_family,2024,5,3,3,1,3,20909,4248,3,05-31-18,814900,for_sale
single_family,2003,4,3,2,1,4,13939,2400,2,05-31-18,854501,for_sale
single_family,2024,3,3,2,1,2,2614,1930,3,05-31-18,477990,for_sale
single_family,2024,4,3,1,1,2,4792,2846,3,05-31-18,529900,for_sale
single_family,2024,3,2,2,1,2,6098,2729,2,05-31-18,549900,for_sale
single_family,2024,3,3,2,1,3,6098,2661,3,05-31-18,559900,for_sale
single_family,2024,3,2,2,1,3,6534,3200,2,05-31-18,559900,for_sale
single_family,2024,2,2,2,1,2,3049,1371,1,05-31-18,474990,for_sale
single_family,2024,3,3,3,1,2,3049,1890,2,05-31-18,554990,for_sale
single_family,2024,3,2,2,1,2,6534,1532,1,05-31-18,499516,for_sale
single_family,2024,3,3,2,1,3,3049,1747,3,05-31-18,475990,for_sale
single_family,2024,4,4,3,1,3,7405,3305,3,05-31-18,1003325,for_sale
single_family,2024,6,5,4,1,3,10454,5234,3,05-31-18,1452500,for_sale
mobile,2001,5,3,3,1,2,45738,2432,1,04-14-16,450000,for_sale
single_family,2024,4,3,2,1,3,11326,2727,1,05-31-18,810000,for_sale
