type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status
single_family,1953,3,2,2,1,2,6970,2072,2,05-31-18,371000,for_sale
single_family,1929,4,2,1,1,2,10454,2179,1,12-05-12,299000,for_sale
single_family,2019,4,2,2,1,3,11761,1872,1,03-21-19,600000,for_sale
single_family,2003,5,3,3,1,2,13939,3798,2,05-31-18,712900,ready_to_build
single_family,2003,3,3,2,1,2,13939,2747,2,05-31-18,479900,ready_to_build
single_family,2006,4,4,3,1,2,6534,3712,2,01-08-16,725000,for_sale
townhomes,2003,3,2,2,1,2,13939,1310,2,05-31-18,353990,for_sale
single_family,2003,3,3,2,1,2,13939,1818,1,05-31-18,504990,ready_to_build
single_family,2003,3,3,2,1,2,13939,2270,2,05-31-18,572500,ready_to_build
single_family,2003,3,3,2,1,2,13939,2512,3,05-31-18,498900,for_sale
single_family,1903,3,1,1,1,1,5227,899,1,05-31-18,280000,for_sale
mobile,1997,3,2,2,1,2,43560,1680,1,05-31-18,289000,for_sale
townhomes,2003,4,3,2,1,2,13939,2146,3,05-31-18,488730,for_sale
condos,2003,3,3,2,1,2,13939,1708,2,05-31-18,615000,for_sale
single_family,1910,4,2,1,1,4,62726,2236,2,05-31-18,795000,for_sale
single_family,1995,5,4,2,1,2,435600,4485,2,05-31-18,799000,for_sale
single_family,2003,3,3,2,1,2,13939,4132,2,05-31-18,594750,ready_to_build
other,2003,3,3,2,1,2,13939,2460,2,05-31-18,577900,for_sale
condos,2003,3,2,2,1,1,13939,1322,1,05-31-18,344990,for_sale
single_family,2019,3,2,2,1,2,6098,2804,2,07-01-19,499000,for_sale
townhomes,2003,4,3,2,1,2,13939,1615,2,05-31-18,396990,for_sale
other,2003,3,3,2,1,2,13939,2667,2,05-31-18,551900,for_sale
single_family,2003,3,3,2,1,2,13939,3990,2,05-31-18,640750,ready_to_build
townhomes,2003,3,3,2,1,2,13939,1860,3,05-31-18,430900,for_sale
single_family,2003,3,3,2,1,2,13939,2289,2,05-31-18,454900,ready_to_build
condos,2003,3,2,2,1,1,13939,1322,1,05-31-18,359990,for_sale
townhomes,2013,3,2,1,1,2,2614,1461,1,12-22-20,440000,for_sale
single_family,2003,4,3,2,1,2,13939,2614,2,04-19-23,726900,for_sale
single_family,2003,4,3,2,1,2,13939,2066,2,05-31-18,715900,for_sale
condo,2003,3,3,2,1,1,13939,1342,2,05-31-18,319990,ready_to_build
townhomes,2003,3,3,2,1,2,13939,2187,2,05-31-18,319990,for_sale
single_family,2003,6,5,4,1,3,13939,4768,2,05-31-18,1282995,for_sale
single_family,2024,3,2,2,1,3,10890,1799,1,05-31-18,425000,for_sale
townhomes,2003,3,2,2,1,2,13939,1399,2,05-31-18,378990,for_sale
single_family,2003,5,3,3,1,2,13939,3250,2,05-31-18,606900,ready_to_build
single_family,2003,3,3,2,1,2,13939,1700,2,05-31-18,512500,ready_to_build
single_family,2003,4,3,2,1,2,13939,2424,2,05-31-18,595900,ready_to_build
single_family,2003,4,3,2,1,2,13939,2583,2,05-31-18,610500,ready_to_build
single_family,2003,3,3,2,1,2,13939,1925,2,05-31-18,631900,for_sale
townhomes,2003,4,3,2,1,2,13939,2247,2,05-31-18,319990,for_sale
single_family,2003,3,3,2,1,2,13939,4219,1,05-31-18,691400,ready_to_build
townhouse,2003,3,3,2,1,1,13939,1689,3,05-31-18,391400,ready_to_build
townhouse,2003,3,3,2,1,2,13939,1649,3,05-31-18,423990,ready_to_build
single_family,1998,6,4,3,1,3,10890,3574,3,01-31-17,680000,for_sale
single_family,2003,6,5,4,1,3,13939,4302,2,05-31-18,1436995,for_sale
townhomes,2003,3,2,2,1,2,13939,1310,2,05-31-18,356990,for_sale
single_family,2003,4,3,3,1,2,13939,2899,2,05-31-18,909990,ready_to_build
single_family,2003,6,3,4,1,2,13939,3482,2,05-31-18,644800,ready_to_build
mobile,1975,3,1,1,1,2,221285,1340,1,05-31-18,284499,for_sale
single_family,2003,3,3,2,1,2,13939,4132,2,05-31-18,502750,ready_to_build
single_family,2003,3,3,2,1,2,13939,4132,2,05-31-18,592750,ready_to_build
single_family,2003,3,3,2,1,2,13939,2520,2,05-31-18,587500,ready_to_build
single_family,2003,4,3,3,1,2,13939,2732,2,05-31-18,879990,ready_to_build
single_family,2003,4,3,2,1,3,13939,2284,2,05-31-18,768100,for_sale
single_family,2016,3,4,3,1,2,12632,4039,2,10-07-16,775000,for_sale
single_family,2003,3,3,3,1,2,13939,3341,2,05-31-18,1249990,ready_to_build
townhomes,2003,4,3,2,1,2,13939,1615,2,05-31-18,396990,for_sale
mobile,2014,1,1,1,1,2,43560,400,1,05-31-18,350000,for_sale
single_family,2003,4,3,2,1,2,13939,2291,2,05-31-18,772500,for_sale
single_family,2003,3,3,2,1,3,13939,2575,2,05-31-18,553990,for_sale
single_family,2003,4,3,2,1,3,13939,2614,2,05-31-18,743900,for_sale
single_family,2003,3,3,2,1,2,13939,2250,2,05-31-18,549990,ready_to_build
single_family,2003,3,3,2,1,2,13939,3682,1,05-31-18,714900,ready_to_build
single_family,2003,3,2,2,1,2,13939,1540,2,05-31-18,364900,for_sale
single_family,2003,5,3,3,1,2,13939,2970,2,05-31-18,596900,ready_to_build
single_family,2003,4,3,4,1,3,13939,5889,2,05-31-18,1268995,ready_to_build
single_family,1977,4,3,3,1,2,19166,3037,3,05-09-19,925000,for_sale
single_family,2000,4,3,3,1,2,9148,2619,4,08-09-18,469900,for_sale
single_family,2003,4,3,2,1,2,13939,3669,2,05-31-18,754900,ready_to_build
single_family,2003,2,3,2,1,2,13939,1590,2,05-31-18,505500,ready_to_build
single_family,2021,4,3,3,1,4,12197,2203,1,05-31-18,989000,for_sale
townhomes,2003,3,2,2,1,2,13939,1310,2,05-31-18,353990,for_sale
single_family,1994,11,14,11,1,2,42689,12771,2,05-31-18,7750000,for_sale
single_family,2020,4,3,2,1,2,19166,2020,1,01-08-18,900000,for_sale
single_family,2003,6,3,3,1,2,13939,4684,2,05-31-18,711900,ready_to_build
single_family,2003,5,3,3,1,2,13939,2970,2,05-31-18,629900,ready_to_build
single_family,2003,3,3,2,1,2,13939,1806,2,05-31-18,438500,ready_to_build
single_family,2010,3,2,1,1,2,33541,1560,1,05-31-18,380000,for_sale
mobile,1997,4,2,2,1,2,27007,1792,1,12-13-18,310000,for_sale
townhomes,2003,3,3,2,1,2,13939,2187,2,05-31-18,314990,for_sale
single_family,2006,5,3,2,1,3,14810,3484,2,04-27-07,759000,for_sale
single_family,2003,5,3,3,1,2,13939,4132,2,05-31-18,639900,ready_to_build
mobile,1996,3,2,2,1,2,13939,1500,1,05-31-18,100000,for_sale
single_family,2003,5,4,3,1,3,13939,2900,2,05-31-18,742900,for_sale
single_family,2003,3,3,2,1,2,13939,2224,2,05-31-18,616500,ready_to_build
single_family,2003,3,3,2,1,2,13939,4007,2,05-31-18,604750,ready_to_build
single_family,2003,5,3,3,1,2,13939,3798,2,05-31-18,670900,ready_to_build
single_family,2003,1,3,1,1,2,13939,2604,2,05-31-18,559750,ready_to_build
single_family,2003,4,4,3,1,4,13939,3553,2,05-31-18,949995,for_sale
single_family,2003,2,3,2,1,2,13939,1992,1,05-31-18,655995,for_sale
condos,2003,3,2,2,1,1,13939,1322,1,05-31-18,344990,for_sale
single_family,1920,4,2,2,1,2,4356,1780,2,05-31-18,360000,for_sale
single_family,2018,4,3,2,1,3,10890,1904,1,05-31-18,698000,for_sale
single_family,2003,3,2,2,1,2,13939,1540,2,05-31-18,364900,for_sale
townhomes,2003,4,3,3,1,2,13939,1789,3,05-31-18,369990,for_sale
single_family,2000,6,4,3,1,2,15246,4002,2,08-16-00,750000,for_sale
single_family,2003,5,4,4,1,2,13939,3341,2,05-31-18,1299021,for_sale
single_family,2003,3,3,2,1,2,13939,1759,2,05-31-18,529990,ready_to_build
single_family,2016,6,9,2,2,5,21780,11694,3,05-31-18,6950000,for_sale
single_family,2003,3,3,2,1,2,13939,2191,2,05-31-18,469990,ready_to_build
single_family,2009,5,3,3,1,2,10019,3036,2,05-31-18,650000,for_sale
single_family,2003,3,3,2,1,2,13939,2030,2,05-31-18,541500,ready_to_build
condo_townhome,2003,4,3,2,1,2,13939,2247,2,05-31-18,439990,ready_to_build
condo_townhome,2003,4,3,2,1,2,13939,1616,2,05-31-18,444990,ready_to_build
single_family,2003,3,3,2,1,2,13939,2520,2,05-31-18,606500,ready_to_build
single_family,2003,2,3,2,1,2,13939,1862,2,05-31-18,545500,ready_to_build
single_family,2003,4,3,2,1,2,13939,4489,2,05-31-18,631900,ready_to_build
single_family,2003,5,3,3,1,2,13939,2791,2,05-31-18,491900,ready_to_build
single_family,2003,5,3,2,1,2,13939,3450,2,05-31-18,636500,ready_to_build
single_family,2003,3,3,2,1,2,13939,3120,2,05-31-18,599900,ready_to_build
single_family,2003,3,3,2,1,2,13939,3055,2,05-31-18,469990,ready_to_build
single_family,2003,3,4,3,1,3,13939,2227,2,05-31-18,719900,for_sale
single_family,2003,3,3,2,1,3,13939,2813,2,05-31-18,528995,ready_to_build
single_family,2003,3,3,2,1,2,13939,3274,2,05-31-18,614900,ready_to_build
single_family,2003,3,3,2,1,2,13939,3213,2,05-31-18,561900,ready_to_build
townhomes,2003,3,2,2,1,2,13939,1399,2,05-31-18,389990,for_sale
single_family,2003,3,3,2,1,2,13939,2000,2,05-31-18,511500,ready_to_build
single_family,2003,5,3,2,1,2,13939,3802,2,05-31-18,677900,ready_to_build
single_family,2003,4,3,2,1,2,13939,3875,2,05-31-18,681400,ready_to_build
single_family,2003,4,3,2,1,3,13939,2610,2,05-31-18,650000,ready_to_build
single_family,2003,4,4,3,1,2,13939,2823,2,05-31-18,629990,for_sale
single_family,2003,3,2,2,1,2,13939,1540,2,05-31-18,364900,for_sale
single_family,2003,3,3,2,1,2,13939,3054,2,05-31-18,564900,ready_to_build
single_family,2003,3,3,2,1,2,13939,2479,1,05-31-18,524900,ready_to_build
townhouse,2003,4,3,2,1,2,13939,1480,2,05-31-18,292500,ready_to_build
townhouse,2003,4,3,3,1,2,13939,2304,3,05-31-18,475990,ready_to_build
condo_townhome,2003,3,3,2,1,0,13939,1362,2,05-31-18,314990,ready_to_build
single_family,2003,4,3,2,1,2,13939,2400,2,05-31-18,550000,ready_to_build
single_family,2016,5,3,3,1,3,15246,3560,2,10-23-15,999500,for_sale
single_family,2003,4,3,3,1,2,13939,3482,2,05-31-18,607750,ready_to_build
single_family,2003,5,3,3,1,3,13939,4139,2,05-31-18,528995,ready_to_build
single_family,2003,3,3,2,1,2,13939,1500,2,05-31-18,538500,ready_to_build
single_family,2003,5,3,5,1,4,13939,4256,1,05-31-18,528995,ready_to_build
single_family,2003,4,3,3,1,1,13939,4541,1,05-31-18,754900,ready_to_build
single_family,2003,3,3,2,1,2,13939,2960,3,05-31-18,509900,ready_to_build
single_family,2003,3,3,2,1,2,13939,3580,2,05-31-18,647750,ready_to_build
single_family,2018,4,2,2,1,2,9583,2155,1,10-09-20,569900,for_sale
single_family,2003,8,3,3,1,2,13939,5422,2,05-31-18,683900,ready_to_build
single_family,2005,6,4,3,1,3,43560,4277,2,04-28-22,679000,for_sale
single_family,2003,3,3,2,1,2,13939,1540,2,05-31-18,364900,ready_to_build
single_family,2003,6,3,3,1,2,13939,2540,2,05-31-18,514700,ready_to_build
single_family,2003,3,3,2,1,2,13939,1873,2,05-31-18,498900,ready_to_build
single_family,2003,3,3,2,1,3,13939,3510,2,05-31-18,554990,ready_to_build
single_family,2003,4,3,2,1,2,13939,2848,2,05-31-18,651500,ready_to_build
single_family,2003,3,3,2,1,2,13939,2527,2,05-31-18,464900,ready_to_build
single_family,2003,3,3,2,1,2,13939,2505,2,05-31-18,589990,ready_to_build
single_family,2003,4,3,2,1,3,13939,2359,2,05-31-18,960000,ready_to_build
single_family,2003,5,3,3,1,2,13939,2768,2,05-31-18,810900,ready_to_build
single_family,2003,4,3,2,1,3,13939,2614,2,05-31-18,590000,ready_to_build
single_family,2003,3,3,2,1,3,13939,2728,2,05-31-18,800000,ready_to_build
single_family,2003,3,3,2,1,3,13939,2068,2,05-31-18,920000,ready_to_build
single_family,2003,5,3,3,1,2,13939,2188,2,05-31-18,524900,ready_to_build
single_family,2003,4,3,2,1,3,13939,2006,2,05-31-18,590000,ready_to_build
townhomes,2003,3,2,2,1,2,13939,1399,2,05-31-18,399990,for_sale
single_family,2003,3,3,2,1,2,13939,3312,2,05-31-18,819900,ready_to_build
single_family,2003,4,3,2,1,2,13939,4364,2,05-31-18,864900,ready_to_build
single_family,2003,5,3,3,1,3,13939,3080,2,05-31-18,851900,ready_to_build
single_family,2003,3,3,2,1,2,13939,2126,2,05-31-18,502990,ready_to_build
single_family,2003,2,3,2,1,3,13939,2740,2,05-31-18,920000,ready_to_build
single_family,2003,2,3,2,1,2,13939,2526,2,05-31-18,540750,ready_to_build
single_family,2003,4,3,2,1,2,13939,4315,2,05-31-18,864900,ready_to_build
single_family,2017,5,4,3,1,2,2178,4188,3,04-22-21,990000,for_sale
land,2003,4,0,2,1,2,14841763,2400,2,05-31-18,680000,for_sale
single_family,2003,3,3,2,1,2,13939,2520,2,05-31-18,560990,ready_to_build
single_family,1978,2,1,1,1,2,23958,860,2,05-31-18,235000,for_sale
single_family,1999,7,6,5,1,3,40075,6817,3,11-20-17,1800000,for_sale
land,2003,4,0,2,1,2,373309,2400,2,05-31-18,149900,for_sale
single_family,1946,5,3,3,1,2,16553,2823,2,12-22-17,550000,for_sale
single_family,2017,3,2,2,1,3,13939,3489,2,05-31-18,650000,for_sale
single_family,2003,3,3,2,1,2,13939,1865,1,05-31-18,459990,ready_to_build
single_family,2021,3,3,2,1,3,21780,4314,2,12-30-21,650000,for_sale
single_family,2003,3,3,2,1,2,13939,1810,2,05-31-18,569900,ready_to_build
single_family,2022,4,3,3,1,4,65340,3828,2,05-31-18,795000,for_sale
land,2003,4,0,2,1,2,2330460,2400,2,05-31-18,15000,for_sale
single_family,2011,4,3,3,1,3,10454,2537,1,08-19-15,675000,for_sale
single_family,1914,3,2,1,1,2,30056,2193,3,05-31-18,287000,for_sale
single_family,2020,3,2,2,1,3,15246,3200,2,08-28-20,630000,for_sale
single_family,2023,3,2,2,1,3,11326,3140,2,05-31-18,497000,for_sale
land,2003,4,0,2,1,2,217800,2400,2,02-11-22,149900,for_sale
single_family,1997,5,3,3,1,2,291852,3080,3,05-31-18,1000000,for_sale
single_family,2005,4,6,6,1,3,70567,7776,3,05-31-18,3950000,for_sale
single_family,2000,5,3,2,1,2,15682,3274,2,04-19-18,629900,for_sale
land,2003,4,0,2,1,2,1151291,2400,2,05-31-18,205000,for_sale
single_family,1981,4,2,1,1,1,24394,2078,3,05-31-18,369000,for_sale
single_family,2003,3,3,2,1,2,13939,1818,2,05-31-18,529990,for_sale
single_family,2002,5,3,2,1,2,6534,2585,2,07-26-18,524900,for_sale
single_family,2003,3,3,2,1,3,13939,2079,2,05-31-18,609900,ready_to_build
single_family,1983,2,1,1,1,1,23522,1980,2,05-31-18,355000,for_sale
single_family,1928,4,1,1,1,1,12197,1602,3,07-05-16,458000,for_sale
single_family,1944,4,2,2,1,2,14810,2131,2,05-31-18,679500,for_sale
single_family,2022,4,3,2,1,3,11761,3375,3,05-31-22,750000,for_sale
single_family,1999,3,2,2,1,2,8712,1515,1,05-31-18,399900,for_sale
single_family,1968,4,2,2,1,2,28750,2817,1,09-01-04,399900,for_sale
land,2003,4,0,2,1,2,274864,2400,2,05-31-18,473250,for_sale
single_family,2003,3,3,2,1,2,13939,1818,2,05-31-18,515469,for_sale
single_family,2003,3,3,2,1,2,13939,1808,1,05-31-18,459990,ready_to_build
single_family,1980,4,2,1,1,2,19602,2100,2,05-31-18,445000,for_sale
single_family,2006,6,2,2,1,3,11326,3840,3,11-07-22,650000,for_sale
single_family,1978,5,3,1,1,6,117176,3254,2,05-31-18,599900,for_sale
mobile,1980,3,1,1,1,2,2378812,792,1,05-31-18,998100,for_sale
single_family,2007,3,5,2,1,3,43560,5702,3,05-31-18,1250000,for_sale
single_family,2005,2,2,2,1,2,5663,1529,1,08-01-05,465000,for_sale
single_family,2003,3,3,2,1,2,13939,1771,1,05-31-18,537990,ready_to_build
single_family,1995,6,3,2,1,2,13939,3532,2,05-31-18,599900,for_sale
single_family,2003,2,3,2,1,3,13939,2479,1,05-31-18,783995,for_sale
single_family,2023,3,3,2,1,3,10890,3182,3,05-31-18,525000,for_sale
single_family,2003,3,3,2,1,3,13939,2820,2,05-31-18,965000,ready_to_build
single_family,1920,3,2,1,1,2,5663,2391,2,01-08-21,290000,for_sale
single_family,1957,2,1,1,1,1,7841,1632,1,05-31-18,325000,for_sale
single_family,1960,4,2,1,1,2,42689,2854,2,05-31-18,549000,for_sale
land,2003,4,0,2,1,2,43560,2400,2,05-31-18,112000,for_sale
single_family,2009,4,4,3,1,2,9583,2445,3,12-09-20,475000,for_sale
single_family,2013,3,3,2,1,2,4356,2197,2,02-28-19,990000,for_sale
single_family,2003,3,3,2,1,3,13939,1717,2,05-31-18,766000,ready_to_build
single_family,2003,3,3,2,1,2,13939,2753,2,05-31-18,534900,ready_to_build
single_family,1926,5,2,1,1,2,6534,2015,2,09-24-21,435000,for_sale
single_family,2023,3,3,2,1,2,3049,1464,2,05-31-18,429990,for_sale
single_family,2017,5,3,3,1,3,27878,6359,3,05-31-18,1075000,for_sale
single_family,2002,6,3,3,1,2,11761,3448,2,12-13-13,585000,for_sale
single_family,2003,3,3,2,1,2,13939,1697,1,05-31-18,617900,ready_to_build
townhomes,2022,4,5,1,1,1,1742,2281,2,05-31-18,168000,for_sale
single_family,1993,3,2,2,1,1,8712,1720,2,05-31-18,549900,for_sale
mobile,1980,2,1,1,1,2,13939,850,1,05-31-18,29500,for_sale
single_family,2007,4,3,3,1,2,13068,2760,2,05-31-18,315000,for_sale
single_family,1948,2,1,1,1,2,5663,956,1,10-25-21,299900,for_sale
single_family,2003,3,3,2,1,2,13939,2460,2,05-31-18,504900,ready_to_build
single_family,2009,3,2,2,1,6,25265,2912,2,05-31-18,500000,for_sale
condo_townhome,2003,3,3,2,1,2,13939,1310,2,05-31-18,528995,ready_to_build
single_family,2007,4,2,2,1,3,7405,2593,1,10-05-09,545000,for_sale
mobile,1995,2,1,1,1,2,13939,863,1,05-31-18,45000,for_sale
single_family,2009,5,4,3,1,3,10454,4340,3,05-31-18,949000,for_sale
single_family,2001,5,4,3,1,2,6098,2409,3,09-09-16,590000,for_sale
single_family,2003,3,3,2,1,2,13939,1810,2,05-31-18,569900,ready_to_build
single_family,2003,3,3,2,1,2,13939,2527,2,05-31-18,534900,ready_to_build
single_family,2019,4,3,2,1,3,14375,2357,1,05-31-18,449900,for_sale
single_family,2003,3,3,3,1,3,13939,2345,1,05-31-18,556500,ready_to_build
single_family,2023,9,5,4,1,8,36590,6897,2,11-15-21,2640000,for_sale
single_family,1980,1,3,1,1,4,115870,3150,2,05-31-18,499000,for_sale
single_family,1995,6,3,3,1,2,9583,2570,2,05-31-18,664900,for_sale
mobile,1997,3,2,2,1,2,13939,1344,1,05-31-18,139900,for_sale
single_family,1993,3,2,1,1,3,45738,2410,1,05-31-18,625000,for_sale
single_family,2003,3,3,2,1,2,13939,1818,2,05-31-18,562990,for_sale
single_family,1976,3,2,2,1,2,10454,2002,2,06-04-20,419900,for_sale
single_family,2024,5,3,3,1,2,6534,4605,3,05-31-18,569900,for_sale
single_family,2004,5,4,4,1,1,43560,2829,3,05-31-18,679000,for_sale
single_family,2010,3,2,1,1,2,15682,1996,1,05-31-18,575000,for_sale
mobile,1978,4,2,2,1,2,13939,1825,1,05-31-18,115000,for_sale
single_family,1963,4,3,1,1,2,8276,1920,2,06-13-07,410000,for_sale
single_family,1917,6,2,1,1,2,13504,3958,3,05-31-18,475000,for_sale
single_family,1997,5,3,3,1,2,8712,3388,2,08-17-18,650000,for_sale
single_family,2022,6,4,3,1,4,43560,4000,2,05-31-18,889900,for_sale
townhomes,2024,3,2,2,1,2,4792,1407,1,05-31-18,385000,for_sale
mobile,1971,2,1,1,1,2,13939,600,1,05-31-18,27000,for_sale
mobile,1995,2,2,2,1,2,2614,934,1,05-31-18,255000,for_sale
townhomes,2024,4,3,1,1,2,871,1684,3,05-31-18,514900,for_sale
single_family,1996,6,5,4,1,3,43560,6264,3,03-15-23,2290000,for_sale
farm,2003,4,0,2,1,2,419918,2400,2,05-31-18,3950000,for_sale
single_family,2018,5,4,4,1,3,10454,2568,2,07-31-19,900000,for_sale
single_family,2008,5,4,3,1,4,16553,3875,2,10-02-19,830000,for_sale
single_family,2003,3,3,2,1,2,13939,1841,1,05-31-18,579990,ready_to_build
single_family,2024,6,4,3,1,4,27443,4489,3,05-31-18,762700,for_sale
single_family,2006,4,3,2,1,4,40075,2395,2,01-17-17,725000,for_sale
single_family,2005,1,2,2,1,2,3049,1306,1,11-12-10,400000,for_sale
single_family,2019,3,2,2,1,2,2614,2400,1,05-21-21,527000,for_sale
single_family,2007,6,4,3,1,3,7405,5821,3,05-08-08,1365000,for_sale
single_family,2021,5,4,3,1,3,14375,3524,2,10-23-20,760000,for_sale
single_family,1950,7,3,3,1,2,167706,3357,1,05-31-18,675000,for_sale
single_family,2017,4,5,3,2,9,233046,1944,2,05-31-18,1400000,for_sale
mobile,1977,2,1,1,1,2,13939,730,1,05-31-18,79000,for_sale
single_family,2019,3,4,3,1,2,3920,2063,2,05-31-18,575000,for_sale
single_family,2003,6,4,3,1,3,15246,4351,3,10-02-03,1290000,for_sale
mobile,1973,3,2,2,1,2,10019,1344,2,05-31-18,98000,for_sale
single_family,1981,2,1,2,1,2,50530,1008,2,05-31-18,349000,for_sale
single_family,1922,3,2,1,1,2,14810,1750,2,05-31-18,417500,for_sale
single_family,2003,5,4,3,1,3,14810,4134,2,10-08-21,775000,for_sale
single_family,2024,7,6,4,2,3,22651,7175,3,05-31-18,1695000,for_sale
single_family,2002,5,3,2,1,2,8712,3306,2,05-31-18,599000,for_sale
single_family,2024,4,3,2,1,3,6098,2698,3,05-31-18,560000,for_sale
single_family,2022,5,3,2,1,2,12632,2706,3,05-31-18,750000,for_sale
single_family,2007,4,4,3,1,4,108900,5658,3,05-31-18,1400000,for_sale
single_family,2003,4,3,2,1,2,97139,2828,2,05-31-18,490000,for_sale
single_family,1885,3,1,1,1,2,23958,2196,2,05-31-18,250000,for_sale
condos,1970,2,1,1,1,1,436,890,1,01-31-05,234900,for_sale
single_family,2002,8,5,3,1,8,43560,5600,2,05-31-18,1525000,for_sale
single_family,2003,4,3,2,1,3,13939,1872,1,05-31-18,511500,ready_to_build
single_family,2003,6,3,3,1,2,13939,2965,2,05-31-18,666900,ready_to_build
single_family,2003,2,3,2,1,2,13939,1869,1,05-31-18,584990,ready_to_build
single_family,2003,3,3,2,1,3,13939,2462,2,05-31-18,558990,ready_to_build
single_family,2003,3,3,2,1,2,13939,4004,2,05-31-18,696400,ready_to_build
single_family,2003,3,3,2,1,2,13939,1848,1,05-31-18,439990,ready_to_build
single_family,2003,3,3,2,1,2,13939,3682,1,05-31-18,714900,ready_to_build
single_family,2016,5,4,3,1,6,33106,4580,2,06-14-23,1229000,for_sale
single_family,1895,2,2,2,1,1,8712,1333,1,11-30-22,335000,for_sale
single_family,2003,4,3,3,1,3,13939,1993,1,05-31-18,556500,ready_to_build
single_family,2003,2,3,1,1,2,13939,3802,2,05-31-18,511750,ready_to_build
single_family,2003,2,3,2,1,2,13939,1268,1,05-31-18,389990,ready_to_build
townhomes,2003,4,3,2,1,2,13939,2047,3,05-31-18,464900,for_sale
land,2003,4,0,2,1,2,876427,2400,2,05-31-18,75000,for_sale
single_family,2003,2,3,2,1,2,13939,2145,2,05-31-18,609990,ready_to_build
single_family,2006,4,4,3,1,3,9148,2844,2,12-13-18,619900,for_sale
single_family,2006,5,3,2,1,2,9148,2058,3,10-07-22,590000,for_sale
townhouse,2003,3,3,3,1,2,13939,2025,3,05-31-18,455990,ready_to_build
single_family,2003,4,3,2,1,2,13939,2448,2,05-31-18,594500,ready_to_build
single_family,2003,3,3,2,1,2,13939,1040,1,05-31-18,346500,ready_to_build
single_family,1907,5,2,2,1,2,11326,2372,2,06-30-20,355000,for_sale
single_family,2024,3,2,2,1,2,118048,2857,2,05-31-18,506900,for_sale
land,2003,4,0,2,1,2,871200,2400,2,05-31-18,225000,for_sale
single_family,2018,4,2,1,1,2,9583,1786,1,05-31-18,449900,for_sale
single_family,2003,5,3,2,1,2,13939,5422,2,05-31-18,751750,ready_to_build
single_family,2003,3,3,2,1,2,13939,4968,1,05-31-18,754400,ready_to_build
single_family,2003,4,3,2,1,3,13939,2842,2,05-31-18,920000,ready_to_build
single_family,2003,2,3,2,1,2,13939,1932,2,05-31-18,575000,ready_to_build
single_family,2003,3,3,2,1,4,13939,2740,1,05-31-18,784995,ready_to_build
single_family,2003,5,3,3,1,3,13939,4139,2,05-31-18,528995,ready_to_build
single_family,2003,4,3,3,1,2,13939,3482,2,05-31-18,623750,ready_to_build
single_family,2003,2,3,2,1,2,13939,1263,2,05-31-18,445000,ready_to_build
single_family,1902,4,1,1,1,2,10019,2067,3,11-05-15,359000,for_sale
single_family,1998,2,2,1,1,2,43560,1590,2,05-31-18,369500,for_sale
single_family,2003,3,3,2,1,3,13939,2175,2,05-31-18,590000,ready_to_build
single_family,2003,3,3,2,1,2,13939,1625,2,05-31-18,535500,ready_to_build
mobile,1990,4,3,3,1,1,435600,3156,2,05-31-18,499000,for_sale
single_family,2003,3,3,2,1,4,13939,2793,1,05-31-18,847995,for_sale
single_family,2003,1,3,1,1,2,13939,1815,2,05-31-18,580000,ready_to_build
single_family,2003,4,3,3,1,2,13939,1974,1,05-31-18,508900,ready_to_build
single_family,2003,2,3,2,1,2,13939,1665,2,05-31-18,570000,ready_to_build
single_family,2003,3,3,2,1,2,13939,1579,2,05-31-18,620000,ready_to_build
single_family,1982,3,3,1,1,2,11761,3189,2,05-31-18,500000,for_sale
single_family,1905,4,2,2,1,4,13504,2278,2,05-31-18,850000,for_sale
single_family,2003,3,3,2,1,3,13939,3129,2,05-31-18,800000,ready_to_build
single_family,2015,4,3,2,1,2,48787,2880,2,05-31-18,1075000,for_sale
single_family,2021,4,3,2,1,3,7405,4303,3,06-17-21,750000,for_sale
single_family,2001,4,4,2,1,4,57064,2189,4,06-03-16,650000,for_sale
land,2003,4,0,2,1,2,2719015,2400,2,05-31-18,57000,for_sale
single_family,1960,4,2,1,1,1,10454,1813,2,01-04-17,398500,for_sale
single_family,2008,2,2,2,1,2,225641,2448,3,05-31-18,365000,for_sale
single_family,2020,7,11,7,4,14,94525,20905,3,05-31-18,18900000,for_sale
single_family,2003,3,3,2,1,2,13939,1547,2,05-31-18,402990,ready_to_build
mobile,2004,4,3,3,1,3,537966,2635,1,05-31-18,575000,for_sale
single_family,2003,3,3,2,1,2,13939,1574,2,05-31-18,499000,ready_to_build
single_family,2003,4,3,2,1,2,13939,2291,2,05-31-18,766000,ready_to_build
single_family,1996,4,5,1,1,2,87556,3042,4,05-31-18,799900,for_sale
single_family,2003,2,3,2,1,2,13939,2268,2,05-31-18,630000,ready_to_build
single_family,2003,4,3,2,1,2,13939,2122,2,05-31-18,760000,ready_to_build
mobile,1995,3,2,1,1,4,108900,1300,1,05-31-18,600000,for_sale
single_family,1996,2,2,1,1,2,5663,1215,1,05-31-18,369900,for_sale
single_family,2005,2,1,1,1,2,872071,788,1,05-31-18,379000,for_sale
single_family,1951,3,2,2,1,2,15246,2174,2,05-31-18,434900,for_sale
single_family,1998,7,6,3,2,3,102802,6545,3,05-31-18,2300000,for_sale
single_family,2014,5,4,3,1,4,10019,4075,2,05-31-18,739900,for_sale
